likes,dislikes,comment_count,
3682,198,286,0
6744,331,564,0
3799,67,292,0
4816,95,1222,0
104,5,10,0
1837,57,76,0
906,24,108,0
13066,76,877,0
7323,268,904,0
1987,120,182,0
2713,132,222,0
3522,109,418,0
8184,73,629,0
14274,293,943,0
7464,36,890,0
8224,75,318,0
911,335,407,0
2776,531,2329,0
567,38,102,0
3178,387,341,0
1193,53,144,0
6724,96,855,0
715,129,160,0
2239,243,1187,0
662,72,611,0
1207,127,411,0
1858,206,84,0
9568,450,3057,0
1666,484,637,0
4993,291,941,0
5473,154,556,0
7396,108,435,0
8763,204,930,0
6228,180,614,0
8814,91,1527,0
18573,71,1088,0
2268,103,268,0
571,47,49,0
3970,36,470,0
3852,445,474,0
438,46,572,0
1669,62,190,0
171,45,339,0
7987,278,863,0
1766,84,625,0
3548,109,419,0
612,7,95,0
6961,75,279,0
2829,48,210,0
2788,158,247,0
1497,10,212,0
594,197,179,0
3869,151,435,0
7227,76,288,0
9687,82,607,0
6522,73,1066,0
3885,66,257,0
5827,242,558,0
1674,484,639,0
1912,108,159,0
7311,91,526,0
3197,87,249,0
7734,141,426,0
1432,34,99,0
8047,643,2115,0
1972,37,410,0
3643,112,137,0
5353,274,604,0
2354,834,588,0
5896,524,1066,0
9459,288,1866,0
1042,262,307,0
5115,66,458,0
247,392,341,0
4962,86,108,0
6234,664,2116,0
4055,597,779,0
4597,144,708,0
1678,485,628,0
801,570,369,0
12869,103,4197,0
8464,89,427,0
2183,119,187,0
885,72,440,0
688,49,995,0
3264,161,429,0
3509,1617,1028,0
3795,108,1442,0
4566,142,757,0
4842,101,946,0
1905,32,101,0
4575,59,346,0
617,2,44,0
2915,108,267,0
7451,109,435,0
6870,291,811,0
5562,50,593,0
5930,77,547,0
1026,37,333,0
11576,155,635,0
571,71,0,0
424,12,0,0
6038,39,402,0
1191,125,139,0
4170,64,299,0
621,2,45,0
1034,65,77,0
4979,66,198,0
5555,159,621,0
2169,93,221,0
888,72,440,0
7423,69,1249,0
3991,210,563,0
5514,64,248,0
3765,199,293,0
5725,149,713,0
618,288,977,0
1254,198,107,0
379,78,0,0
3119,88,168,0
1721,43,141,0
5489,72,337,0
5445,237,480,0
2789,190,213,0
248,395,342,0
1545,55,147,0
4850,98,300,0
4996,260,278,0
6315,145,640,0
731,130,162,0
7398,94,529,0
6031,2770,1762,0
2225,100,451,0
11492,208,4824,0
809,570,370,0
1348,93,356,0
8946,112,677,0
4090,106,643,0
6490,78,4216,0
4267,71,614,0
2552,40,146,0
2783,54,201,0
1219,116,198,0
815,244,119,0
8955,93,1582,0
783,525,169,0
6072,80,450,0
4886,19,213,0
471,199,1293,0
1835,244,261,0
2365,133,350,0
2967,47,148,0
1049,65,87,0
249,396,342,0
4435,56,527,0
952,26,114,0
